E T I
0.64 1452 8
0.68 1453 8
0.90 1454 8
0.92 1455 8
0.97 1456 8
0.61 1457 8
1.03 1458 8
0.97 1459 8
0.77 1460 8
0.94 1461 8
0.87 1462 8
0.98 1463 8
0.85 1464 8
0.61 1465 8
0.81 1466 8
0.90 1467 8
0.73 1468 8
0.61 1469 8
0.40 1470 8
0.68 1471 8
0.91 1472 8
0.75 1473 8
0.79 1474 8
0.65 1475 8
0.74 1476 8
0.88 1477 8
0.86 1478 8
0.90 1479 8
0.90 1480 8
0.90 1481 8
0.72 1482 8
0.89 1483 8
0.83 1484 8
0.69 1485 8
0.75 1486 8
0.56 1487 8
0.63 1488 8
0.50 1489 8
0.84 1490 8
0.75 1491 8
0.75 1492 8
0.65 1493 8
0.55 1494 8
0.79 1495 8
0.81 1496 8
0.79 1497 8
0.91 1498 8
0.68 1499 8
0.80 1500 8
0.70 1501 8
0.63 1502 8
0.71 1503 8
0.81 1504 8
0.56 1505 8
0.74 1506 8
0.70 1507 8
0.71 1508 8
0.78 1509 8
0.85 1510 8
0.71 1511 8
0.87 1512 8
0.88 1513 8
0.76 1514 8
0.77 1515 8
0.69 1516 8
0.59 1517 8
0.72 1518 8
0.87 1519 8
0.79 1520 8
0.85 1521 8
0.76 1522 8
0.74 1523 8
0.73 1524 8
0.69 1525 8
1.00 1526 8
0.74 1527 8
0.72 1528 8
0.65 1529 8
0.72 1530 8
0.94 1531 8
0.75 1532 8
0.58 1533 8
0.68 1534 8
0.48 1535 8
0.89 1536 8
0.70 1537 8
0.67 1538 8
0.57 1539 8
0.62 1540 8
0.55 1541 8
0.65 1542 8
0.82 1543 8
0.77 1544 8
0.70 1545 8
0.62 1546 8
1.13 1547 8
0.76 1548 8
0.87 1549 8
0.78 1550 8
0.75 1551 8
0.43 1552 8
0.77 1553 8
0.85 1554 8
0.69 1555 8
0.82 1556 8
0.61 1557 8
0.53 1558 8
0.67 1559 8
0.59 1560 8
0.62 1561 8
0.80 1562 8
0.83 1563 8
0.53 1564 8
0.54 1565 8
0.63 1566 8
0.75 1567 8
0.67 1568 8
0.80 1569 8
0.55 1570 8
0.78 1571 8
0.56 1572 8
1.00 1573 8
0.89 1574 8
0.67 1575 8
0.69 1576 8
0.80 1577 8
0.51 1578 8
0.70 1579 8
0.59 1580 8
0.73 1581 8
0.76 1582 8
0.71 1583 8
0.59 1584 8
0.84 1585 8
0.53 1586 8
0.84 1587 8
0.86 1588 8
0.69 1589 8
0.67 1590 8
0.67 1591 8
0.81 1592 8
0.76 1593 8
0.92 1594 8
0.98 1595 9
0.67 1596 9
0.64 1597 9
0.78 1598 9
0.48 1599 9
0.65 1600 9
0.56 1601 9
0.44 1602 9
0.87 1603 9
0.45 1604 9
0.62 1605 9
0.61 1606 9
0.67 1607 9
0.55 1608 9
1.02 1609 9
0.25 1610 9
0.87 1611 9
0.44 1612 9
0.33 1613 9
1.07 1614 9
0.85 1615 9
0.55 1616 9
0.25 1617 9
0.48 1618 9
0.75 1619 9
0.60 1620 9
0.71 1621 9
0.79 1622 9
0.92 1623 9
0.90 1624 9
0.77 1625 9
0.73 1626 9
0.68 1627 9
0.63 1628 9
0.65 1629 9
0.59 1630 9
0.67 1631 9
0.57 1632 9
0.83 1633 9
0.59 1634 9
0.78 1635 9
0.75 1636 9
0.75 1637 9
0.91 1638 9
0.62 1639 9
0.70 1640 9
0.71 1641 9
0.78 1642 9
0.91 1643 9
0.91 1644 9
0.43 1645 9
0.83 1646 9
1.02 1647 9
0.90 1648 9
0.90 1649 9
0.81 1650 9
